id,nama,email,no_hp,tanggal_daftar,status
27,Arif Permana,arif_permana851@gmail.com,628824348734,07/12/2022,Active
28,Qori Hartono,qorihartono@gmail.com,+6282231665876,13/09/2018,inactive
29,Jihan Sudirman,jihan_sudirman@gmail.com,+628778893734,2022-11-21,active
30,Jihan Nasution,jihan.nasution861@gmail.com,62887699016,2019-07-10,active
31,Hendra Wahyudi,hendra-wahyudi346@gmail.com,+62856708053,09-10-18,active
32,Dewi Hartono,rosi.nugroho702@icloud.com,08221937452,17-10-24,Banned
33,Eko Sudirman,ekosudirman@gmail.com,628773193149,11-05-19,acitve
34,Ani Lubis,anilubis519@gmail.com,+62882657262,08-11-23,active
35,Opik Soekarno,opik_soekarno447@gmail.com,08137379965,2018-04-28,active
36,Indah Nainggolan,indah-nainggolan287@yahoo.com,0885136783,05-05-23,Active
37,Yunus Batubara,yunus.batubara@gmail.com,628897885685,12-12-21,inactive
38,Panji Siregar,panji.siregar@rocketmail.com,62851374989,05/03/2021,active
39,Xena Gunawan,xena.gunawan@gmail.com,6285727109477,2022-12-10,active
40,Hendra Wahyudi,hendrawahyudi411@gmail.com,62812294131,2024-04-04,banned
41,Mira Soeharto,mira_soeharto462@gmail.com,628789909133,19-12-20,active
42,Irwan Hartono,irwanhartono419@hotmail.com,628820344713,19-12-20,banned
43,SARI SItorus,sari-sitorus717@gmail.com,628877190659,22/10/2020,active
44,Putri Kurniawan,putrikurniawan784@yahoo.com,08518742967,2019-01-09,active
45,Murti Nasution,murti.nasution338@hotmail.com,+6285768071545,2019-04-20,inactive
46,Budi Firmansyah,budifirmansyah193@yahoo.com,+62881348247,09/06/2023,active
47,Nando Soekarno,nandosoekarno566@gmail.com,08211274846,2023-05-31,active
48,TONO GINTING,tono.ginting@gmail.com,+6285840449972,04-01-23,inactive
49,Edy Nasution,edy_nasution956@gmail.com,6285363605766,2019-09-16,active
50,Fajar Purba,fajarpurba896@gmail.com,62881262174,18-10-21,banned
51,Karim SetiaDi,karim.setiadi@yahoo.com,08212400504,2022-01-08,inactive
52,Hadi Hartono,hadi.hartono@gmail.com,6287737923747,11-11-20,active
53,Ulfa Mulyadi,ulfa_mulyadi968@yahoo.com,+6287847436713,12-04-22,active
54,Jasmine Mulyadi,jasmine_mulyadi@yahoo.com,6281274395339,23-10-20,ACTIVE
55,LeStArI AngIn,lestari-angin544@gmail.com,+628825171236,2024-04-01,active
56,Karim Santoso,karim-santoso689@yahoo.com,+62859370985,03/11/2024,banned
57,Agus Angin,agus-angin665@gmail.com,0812471138,2019-07-10,inactive
58,Hana Firmansyah,hana_firmansyah@gmail.com,628219640537,27/12/2022,active
59,Doni Kurniawan,doni-kurniawan63@gmail.com,08211390053,31-05-19,active
60,Agus Pramono,agus.pramono@gmail.com,08112284210,24/06/2019,active
61,Nanda Karo,nandakaro130@yahoo.com,08137589178,26-06-20,active
62,Chandra Siregar,chandrasiregar491@gmail.com,628217115921,2019-06-01,banned
63,Kevin Ginting,kevin-ginting465@gmail.com,6282183673657,2022-06-22,Aktif
64,Doni Harahap,doni-harahap@hotmail.com,+62813116152,28/03/2024,banned
65,Hesti Ginting,hesti-ginting895@hotmail.com,085745198327,07/07/2020,active
66,HESti PanjaitAN,hesti-panjaitan@gmail.com,088961201836,2022-09-16,active
67,Irwan Panjaitan,irwanpanjaitan@gmail.com,081214767976,23/01/2021,ACTIVE
68,Bela Wibowo,bela_wibowo540@gmail.com,087700343244,05/09/2021,active
69,Zulfa Rizky,zulfa.rizky513@gmail.com,+628120715969,15-07-22,banned
70,NIsa MulYaDi,nisa_mulyadi892@rocketmail.com,+628532181883,2021-12-02,Aktif
71,HADI HArtono,hadi-hartono885@gmail.com,+628137449058,2018-10-31,inactive
72,selvi susanto,selvisusanto@yahoo.com,628857980793,09-08-21,inactive
73,Adit Hidayat,adit-hidayat@yahoo.com,62851377889,2019-10-13,active
74,Qori Sirait,qorisirait809@gmail.com,+6282164492519,2019-08-03,active
75,Karim Kusuma,karim-kusuma573@hotmail.com,+6282281685054,09/01/2020,active
76,Yunus Saputra,yunussaputra@yahoo.com,62885592962,27/10/2019,banned
77,Pipit Soekarno,pipitsoekarno421@hotmail.com,628539473834,06/04/2023,active
78,Jasmine Batubara,jasmine_batubara515@gmail.com,08220758181,13/03/2021,inaktif
79,Irwan Suryadi,irwan_suryadi@yahoo.com,+628110685361,16/03/2022,active
80,Arif Suharto,arif.suharto@gmail.com,+6282277901043,05-09-19,Aktif
81,Nando Sinaga,nando.sinaga@gmail.com,087897117980,12-10-23,active
82,Hadi Mulyadi,hadi.mulyadi585@gmail.com,6281351888880,2022-05-19,active
83,Jihan Panjaitan,erfan.sudirman272@gmail.com,+6285319520585,19-12-19,inactive
84,Wulan Angin,wulan_angin38@gmail.com,0852548687,03/11/2020,ACTIVE
85,Kurnia Mulyadi,kurnia-mulyadi@gmail.com,+6287776527758,28/12/2020,Aktif
86,Oky Pratama,oky.pratama559@gmail.com,08134479627,2021-12-10,active
87,Fani Perangin,faniperangin77@gmail.com,62851297021,24-08-20,active
88,Galih Sirait,budi-siregar477@yahoo.com,628815719285,2022-06-19,banned
89,Winda Hartono,jihan_sudirman@gmail.com,+628858144739,15-03-21,inactive
90,SARI WIBOWO,sari.wibowo921@gmail.com,6285851884422,20-01-22,active
91,Fitri Saputra,fitri_saputra27@yahoo.com,628598291146,15-05-23,inactive
92,Murti Kartini,murti-kartini@yahoo.com,+628852892268,15/08/2018,inactive
93,Nurul Siregar,nurul.siregar355@gmail.com,+6285284249818,22-11-19,inactive
94,Nurul Nugroho,nurul-nugroho@gmail.com,081294396907,2024-02-13,banned
95,Yogi Simbolon,yogi_simbolon305@gmail.com,62812767735,20/10/2024,active
96,Arif Fauzi,arif_fauzi134@yahoo.com,628213714732,01/02/2019,active
97,Jihan Soebagyo,jihan.soebagyo834@yahoo.com,62858278774,31/07/2023,active
98,Karim Purba,karim-purba@gmail.com,+628828016245,2022-07-10,active
99,Laila Rahayu,laila-rahayu76@yahoo.com,+628879912165,20-10-21,active
100,Hadi Saputra,hadisaputra@gmail.com,628588729825,2024-11-16,active
101,Karim Perangin,karim-perangin520@hotmail.com,628570551694,20-04-18,inactive
102,Vera Setiadi,vera.setiadi@yahoo.com,+6285196230913,2018-03-19,active
103,Nisa Hidayat,nisa_hidayat@hotmail.com,0885857865,2019-12-11,inactive
104,Dinda Tarigan,dinda-tarigan625@gmail.com,085643443757,29-11-21,baned
105,WINDA MULYADI,winda_mulyadi918@gmail.com,0857415747,26/05/2020,inactive
106,Panji Ginting,panji.ginting@hotmail.com,6285330165712,22-01-18,active
107,Murti Setiadi,murti_setiadi@outlook.com,+628580193802,08/09/2022,active
108,Karim Soeharto,karim-soeharto@gmail.com,+6288915478872,2023-08-28,active
109,KUrNIa SoeKarno,kurniasoekarno@yahoo.com,+62853463745,21-05-21,INACTIVE
110,Jasmine Santoso,jasmine.santoso@yahoo.com,+628518414593,16/06/2020,inactive
111,Nurul Hasibuan,nurul_hasibuan719@outlook.com,62852918785,16-11-18,active
112,Rina Pramono,rina.pramono169@yahoo.com,+6282139718707,25-06-19,inactive
113,tono sembiring,tono-sembiring@gmail.com,+6281139106518,04/09/2018,inactive
114,Rudi Mulyadi,rudi_mulyadi384@yahoo.com,+62877825128,29-05-22,active
115,maman pramono,murti.nasution338@hotmail.com,+628878633752,03/02/2021,INACTIVE
116,Eko Susanto,ekosusanto@gmail.com,08129030673,20/01/2024,ACTIVE
117,Rina Kusuma,rina-kusuma592@gmail.com,+6282283644089,19-12-19,banned
118,Oky Ginting,oky_ginting805@hotmail.com,+62878462873,2020-07-12,aktive
119,Hadi Soekarno,doni-kurniawan63@gmail.com,+6288726343517,28/02/2022,inactive
120,Kurnia Rahayu,kurniarahayu@gmail.com,62887735403,18-02-20,active
121,Wulan Hartono,wulan_hartono@yahoo.com,+628577854458,2023-07-30,active
122,Vino Permana,vino-permana321@gmail.com,6285320489964,17/09/2019,active
123,Putri Sirait,putri-sirait264@hotmail.com,628822522872,30-01-24,active
124,Dian Susanto,diansusanto@gmail.com,0853203875,05-09-18,banned
125,Opik Simbolon,karim-kusuma573@hotmail.com,62878084840,20-08-23,banned
126,Prita Soekarno,pritasoekarno@gmail.com,08855461567,03/05/2024,banned
127,Maman Siregar,mamansiregar96@gmail.com,+628870021765,06/05/2024,inactive
128,Ani Gunawan,ani_gunawan@gmail.com,6285690250392,20/06/2022,active
129,Irwan Sembiring,irwan_sembiring694@gmail.com,6282218501631,27-10-21,BANNED
130,Opik Brahmana,opikbrahmana650@yahoo.com,+628538662961,2024-12-08,activee
131,ROsi RamAdhaN,rosi_ramadhan460@gmail.com,08138199560,2021-04-10,active
132,Bambang Fauzi,bambang.fauzi@hotmail.com,+62851444721,2019-11-16,active
133,Nisa Siregar,nisa-siregar@hotmail.com,6288293712406,22-09-21,active
134,Candra Batubara,candra.batubara308@yahoo.com,628525265479,2020-09-19,active
135,Winda Kartini,winda.kartini@hotmail.com,6281173741672,25/05/2021,active
136,Nurul Ramadhan,nurul_ramadhan613@yahoo.com,+6288768058911,13-10-20,banned
137,Fani Nugroho,murti-kartini@yahoo.com,628776101438,26-10-23,inactive
138,Jasmine Gunawan,jasmine.gunawan@yahoo.com,08571125457,27-04-20,inactive
139,Edy SImBoLon,edy.simbolon@gmail.com,628783622660,20/11/2024,inactive
140,Linda Sitorus,linda.sitorus@yahoo.com,0887553714,28-06-23,banned
141,Arif Brahmana,arifbrahmana357@yahoo.com,6285149912513,04/06/2021,active
142,HANA ISKANDAR,hana.iskandar589@gmail.com,088282827422,2021-07-12,banned
143,Hendra Soebagyo,mira_soeharto462@gmail.com,087787676772,05-12-18,active
144,maman mulyadi,maman-mulyadi173@yahoo.com,6288281914858,20-06-18,inactive
145,Fira Handoko,fira.handoko@yahoo.com,+62859713395,04-11-24,inactive
146,WATI PERANGIN,wati.perangin@yahoo.com,+628879825449,31-12-20,banned
147,Doni Kusuma,donikusuma@hotmail.com,0853536729,05-01-21,inactive
148,Imam Batubara,imam_batubara651@gmail.com,62877637454,15-10-21,inactive
149,Fajar Sembiring,fajarsembiring@hotmail.com,+62811277063,25-06-19,active
150,Irwan Soebagyo,irwan-soebagyo@gmail.com,62851643611,05/01/2018,inactive
151,Yuni Kusuma,yuni_kusuma@hotmail.com,+628212713611,2019-02-27,active
152,Yogi Kusuma,yogi.kusuma@gmail.com,62889927532,14-08-22,banned
153,Rahmad Soebagyo,rahmad.soebagyo@yahoo.com,628776523413,16-03-24,banned
154,Nando Mulyadi,nando-mulyadi@rocketmail.com,+6285703761379,18-10-18,active
155,GALIH HARAHAP,galih_harahap@ymail.com,+62813910430,2018-09-05,inactive
156,Qori Angin,qori_angin719@gmail.com,6288792414183,29-09-19,active
157,Karim Karo,karimkaro318@hotmail.com,0812161799,2018-08-14,banned
158,joko wibowo,jokowibowo168@gmail.com,6288542524105,2022-10-25,inactive
159,Agus Wahyudi,aguswahyudi509@yahoo.com,+628129252419,18/04/2019,actve
160,bela santoso,bela.santoso48@gmail.com,+62822086353,01-09-22,active
161,PanjI KarTiNi,panji_kartini9@gmail.com,+628899375973,17/02/2024,active
162,budi manurung,budimanurung974@gmail.com,6287741383670,07-08-19,active
163,Sri Susanto,sri_susanto718@yahoo.com,6281318261990,17-11-22,active
164,Nanda Mulyadi,nanda_mulyadi718@gmail.com,+62856132912,09/03/2019,inactive
165,Ulfa Harahap,ulfa.harahap463@yahoo.com,+62821249035,31/08/2019,Active
166,Rosi Lubis,wulan_angin38@gmail.com,+62851678831,08/03/2023,activee
167,lestari wibowo,lestari.wibowo@gmail.com,+6281394101372,2019-01-12,active
168,ani hasibuan,ani_hasibuan842@yahoo.com,087762532447,01/09/2019,banned
169,Pipit Perangin,pipit_perangin904@gmail.com,08562638380,16-04-22,active
170,Wulan Tarigan,wulan-tarigan398@gmail.com,085830407859,11/08/2020,active
171,Rosi Firmansyah,rosifirmansyah@yahoo.com,+62859239559,26-04-18,banned
172,Fani Sembiring,fani.sembiring857@yahoo.com,+628510103930,2023-11-27,active
173,Candra Perangin,candra.perangin941@gmail.com,082221851569,2019-02-18,active
174,Bella Kusuma,bella_kusuma811@hotmail.com,+6285189539264,21/04/2021,active
175,Budi Iskandar,budiiskandar187@yahoo.com,0889725135,01/08/2021,banned
176,Sri Kartini,sri-kartini@gmail.com,085315410067,15/09/2022,inactive
177,Zulfa Sirait,zulfa_sirait@gmail.com,+62813405411,01/11/2021,active
178,Irwan Fauzi,irwanfauzi104@gmail.com,087888444310,29-05-22,inactive
179,yunus hidayat,qorihartono@gmail.com,+62882103241,24/04/2023,active
180,Karim Simbolon,karimsimbolon658@gmail.com,+628772704774,2020-07-15,inactive
181,Rina Hidayat,rinahidayat685@yahoo.com,+62889806868,29-04-23,active
182,Vino SireGaR,vino.siregar@gmail.com,0878632945,02/10/2018,active
183,Hesti Tambunan,hesti_tambunan@hotmail.com,6288961622999,15/02/2019,inactive
184,Doni Soeharto,doni-soeharto899@gmail.com,+6288297024629,29-10-24,banned
185,Laila Susanto,laila.susanto51@gmail.com,+628114447132,15-05-21,inactive
186,Bella Suryadi,bellasuryadi193@gmail.com,+6288250821486,10-07-19,inactive
187,Dewi Purnomo,dewipurnomo@yahoo.com,085934578610,2020-09-17,inactive
188,Mira Batubara,mira-batubara@gmail.com,628130602933,11-07-20,active
189,Panji Setiadi,donilubis748@yahoo.com,+6282229034944,2022-10-02,active
190,Tono Wahyudi,tono_wahyudi@gmail.com,6285999441715,06-02-21,active
191,Winda Wahyudi,winda-wahyudi@yahoo.com,081265207446,2022-07-16,actve
192,Rudi Karo,rudi.karo@hotmail.com,6288258428241,13/04/2023,actve
193,Vera Fauzi,vera.fauzi970@hotmail.com,08533465549,2021-04-19,active
194,Vino Rahayu,vinorahayu@yahoo.com,087746022356,2024-05-21,active
195,Arif Soebagyo,arif_soebagyo@gmail.com,62812743292,29/06/2023,active
196,Opik Sitorus,opik_sitorus@gmail.com,6285250583003,15-07-20,active
197,ZahRA Kusuma,zahra_kusuma@gmail.com,+62811323098,24/11/2019,active
198,Rudi Sirait,rudisirait@hotmail.com,0811167618,2020-11-01,banned
199,Nurul Handoko,nurul-handoko@hotmail.com,6285692618914,12/04/2019,inactive
200,Sari Brahmana,sari.brahmana367@gmail.com,081273753001,29-03-19,banned
201,Zulfa Hidayat,zulfahidayat@gmail.com,628534470120,2021-04-05,activee
202,Arif Sitorus,arifsitorus@hotmail.com,628515794155,20/01/2020,inactive
203,Laila Hasibuan,laila_hasibuan820@hotmail.com,0821021697,19-05-24,inactive
204,Indah Perangin,indahperangin@yahoo.com,+628217014508,19-06-24,inactive
205,Maman Firmansyah,mamanfirmansyah@yahoo.com,+62877890028,2023-04-07,active
206,Yuni Permana,yuni-permana@yahoo.com,628773177971,2023-08-04,active
207,Fitri Nainggolan,tono-sembiring@gmail.com,+6281280199488,27-04-20,banned
208,Tono Nasution,doni-harahap@hotmail.com,+6285899757113,2018-01-09,active
209,Xena Ginting,xenaginting@yahoo.com,0878493316,2020-06-02,acitve
210,Kurnia Ramadhan,kurniaramadhan@icloud.com,+6288198270808,08-11-22,inactive
211,Bela Sudirman,bela.sudirman@gmail.com,+6285866934654,29/01/2023,active
212,Murti Brahmana,murti-brahmana864@hotmail.com,6288733394522,26-08-23,banned
213,Bella RamAdhaN,bellaramadhan205@outlook.com,085742043805,28/01/2023,banned
214,Hesti Soebagyo,hesti_soebagyo244@hotmail.com,628126658004,11-04-20,Inactive
215,Rahmad Pramono,rahmad-pramono@live.com,628527212281,26/03/2022,inactive
216,Winda Ginting,winda-ginting6@yahoo.com,62822259094,03-07-23,inactive
217,Fani Setiawan,fani.setiawan@yahoo.com,0885688615,25/06/2020,banned
218,Candra Nasution,candra_nasution@gmail.com,628593993056,2019-04-10,active
219,Fira Fauzi,fira-fauzi527@yahoo.com,085735811288,31-01-18,active
220,Lukman Firmansyah,lukman_firmansyah@gmail.com,6287812075011,11/08/2018,baned
221,Oscar GinTInG,oscarginting@gmail.com,628214914766,2018-05-07,active
222,ERFAN GUNAWAN,erfan-gunawan@gmail.com,62859882100,03-06-24,inactive
223,Erfan Ginting,erfan-ginting217@hotmail.com,62822239431,13-01-20,activee
224,ilham budiman,ilham_budiman@gmail.com,628131397552,18/08/2020,active
225,Pipit Setiawan,pipit_setiawan337@hotmail.com,6282295562053,26-06-20,actve
226,Prita Suryadi,prita-suryadi899@yahoo.com,+628597812914,28-07-19,active
227,Vera Fauzi,verafauzi@yahoo.com,6281196930848,2024-01-20,banned
228,Nurul Panjaitan,nurul-panjaitan138@yahoo.com,628135803928,2019-07-29,active
229,Joko Sembiring,joko.sembiring754@gmail.com,08533145303,2023-10-23,active
230,Vino Hasibuan,hesti_tambunan@hotmail.com,+6282184498926,2022-03-31,banned
231,Yuni Sinaga,yuni.sinaga529@gmail.com,+628829082723,12-11-18,banned
232,Winda Handoko,windahandoko@gmail.com,+628217739260,25/09/2020,active
233,Jasmine Karo,jasminekaro@gmail.com,0856869904,18/12/2018,inactive
234,Nando Simbolon,nando_simbolon@yahoo.com,08852579913,2022-03-30,active
235,Maya Wijaya,maya_wijaya@yahoo.com,08519908811,30-05-23,active
236,Nando Tarigan,nando_tarigan535@gmail.com,08853765991,09/10/2022,active
237,Wulan Sudirman,wulan-sudirman613@gmail.com,081109818063,2021-07-17,active
238,Maya Hidayat,maya-hidayat876@yahoo.com,+6285663688725,09-04-24,inactive
239,Oscar Siregar,oscar_siregar@hotmail.com,08532138658,20-11-24,banned
240,Hendra Nugroho,hendranugroho@yahoo.com,62878143519,04-06-18,active
241,Laila Perangin,lailaperangin@hotmail.com,+62881384309,23-09-23,banned
242,Putri Perangin,bela_wibowo540@gmail.com,62811146566,28/07/2024,inactive
243,Siti Rizky,siti-rizky744@gmail.com,+6285337690426,05/09/2023,inactive
244,Yuni Purba,yuni-purba898@hotmail.com,+6287773577907,2019-04-22,active
245,Imam Angin,imam.angin820@gmail.com,+6288504341651,21/03/2024,inactive
246,Arif Lubis,arif.lubis@yahoo.com,62852343333,2024-12-08,active
247,Maya Wibowo,maya_wibowo@ymail.com,628125957947,20-01-20,active
248,Karim Gunawan,karim_gunawan@yahoo.com,+6287727187500,2020-05-13,inactive
249,Doni Harahap,doni.harahap562@gmail.com,+6288255276365,2022-02-04,active
250,Selvi Purnomo,selvi.purnomo@hotmail.com,+6285366322702,2022-09-23,active
251,Chandra Tarigan,chandra-tarigan@gmail.com,0851347175,2020-11-30,active
252,Hesti Ginting,hestiginting@gmail.com,6285298245587,05/01/2023,active
253,Opik Mulyadi,opik.mulyadi656@gmail.com,628891125355,08-04-21,active
254,Nando Setiadi,nando-setiadi766@gmail.com,0851234132,15/06/2022,active
255,Agus Simbolon,nurul_hasibuan719@outlook.com,62813492164,28/07/2020,actve
256,Qori Batubara,qori.batubara@hotmail.com,+628587848728,27-12-19,banned
257,Tono Angin,tono_angin537@gmail.com,+62887174564,2019-09-30,active
258,Budi Sinaga,budi-sinaga294@yahoo.com,08824064930,2024-02-24,active
259,Murti Ginting,murti_ginting849@gmail.com,+628133894484,19/08/2022,active
260,Indah Kusuma,indah_kusuma279@gmail.com,+62811080214,07/01/2021,Active
261,rahmad fauzi,rahmadfauzi@gmail.com,+628575705120,2020-12-27,active
262,Fira Simbolon,fira-simbolon837@gmail.com,08537303718,2020-05-03,active
263,Zahra Harahap,zahraharahap260@hotmail.com,+628520313650,2019-11-17,inactive
264,Fitri Tambunan,jasmine_simbolon@gmail.com,6288292513271,2024-12-08,inaktif
265,Rina Rahayu,rinarahayu129@gmail.com,+6288757306524,2018-06-11,aktive
266,Rahmad Ginting,rahmad.ginting@yahoo.com,+6285874982182,2023-01-15,active
267,Fira Panjaitan,fira_panjaitan@gmail.com,6285935186387,08/03/2024,banned
268,Qori Harahap,qoriharahap@gmail.com,0851317310,27-05-24,active
269,Yunus Sinaga,yunussinaga@yahoo.com,62813371705,04-04-24,inactive
270,Hana Soeharto,hana-soeharto@hotmail.com,0857381138,28/04/2022,active
271,Dian Firmansyah,dian.firmansyah572@rocketmail.com,08897612286,2023-08-30,banned
272,Irwan Tarigan,irwan-tarigan925@yahoo.com,+628596593983,17-03-22,Banned
273,Oscar Panjaitan,oscar_panjaitan@gmail.com,6281124043350,04-02-21,inactive
274,Hesti Sembiring,hestisembiring472@gmail.com,08569334419,26-06-22,active
275,Yuni Fauzi,yuni_fauzi@yahoo.com,62857961055,2022-11-14,active
276,Putri Rizky,putririzky650@gmail.com,+62885589258,23/06/2020,active
277,Karim Batubara,karimbatubara228@gmail.com,+62822517908,2022-06-24,active
278,Laila Purba,laila.purba@yahoo.com,+62889898331,2020-12-26,active
279,JasMine Pratama,jasmine-pratama@gmail.com,62812924051,2021-06-03,inactive
280,Andi Nasution,andi.nasution560@yahoo.com,+6282206980420,09/03/2021,baned
281,pipit suryadi,pipitsuryadi69@hotmail.com,+62859046368,2019-02-12,inactive
282,MIra TArigaN,mira-tarigan641@gmail.com,62856460843,2019-09-14,inactive
283,Lestari Pratama,lestari.pratama@yahoo.com,08789578232,07-07-24,banned
284,SARI SOEBAGYO,sari.soebagyo@hotmail.com,628511881252,2018-05-01,inactive
285,Murti Siregar,murti-siregar@gmail.com,0851994999,03-08-20,active
286,putri kurniawan,putri_kurniawan138@hotmail.com,62859677223,15/07/2020,inactive
287,Siti Suryadi,siti.suryadi@gmail.com,088175736609,08-04-22,active
288,Karim Perangin,karimperangin@yahoo.com,+62812886086,16-10-23,active
289,Kurnia Mulyadi,kurnia-mulyadi@gmail.com,+6281282771812,25-07-24,inactive
290,Lestari Tambunan,lestari.tambunan@yahoo.com,08562111751,16-11-23,active
291,Bela Perangin,bela_perangin@gmail.com,62822220644,2023-01-02,banned
292,Indah Wibowo,indahwibowo638@gmail.com,+628828097339,2023-05-03,inactive
293,Rahmad Pratama,karimkaro318@hotmail.com,62887022050,19/08/2019,banned
294,Jasmine Pramono,jasminepramono@gmail.com,085149998279,15/01/2022,active
295,Yogi Harahap,yogiharahap777@yahoo.com,08572145868,09-05-20,active
296,Opik RahaYu,opik-rahayu@yahoo.com,6288277293430,30/04/2019,inactive
297,Fitri Rizky,fitri_rizky@gmail.com,+6288730344144,07-09-23,active
298,Budi Wibowo,budiwibowo@gmail.com,+6285877027278,2021-10-04,acitve
299,murti rizky,murti-rizky@gmail.com,628581240568,11-11-19,banned
300,Jihan Purnomo,jihan-purnomo723@hotmail.com,08561735743,2023-11-21,active
301,Eko Panjaitan,ekopanjaitan@yahoo.com,62822578452,07-02-19,banned
302,Fajar Handoko,fajarhandoko5@gmail.com,628137018409,02-07-21,active
303,Bella Saputra,bella-saputra792@hotmail.com,0856241098,07/10/2023,active
304,Fira Lubis,fira-lubis@gmail.com,085758702070,2019-03-10,active
305,Sri Sitorus,sri_sitorus632@gmail.com,+6285281792171,2023-02-10,banned
306,Ulfa Simbolon,ulfa-simbolon935@gmail.com,08587701715,2023-05-15,active
307,Qori Sudirman,qorisudirman@gmail.com,628138769639,25-09-20,active
308,wulan sirait,wulan_sirait804@yahoo.com,+6288732197199,2023-03-12,inactive
309,Doni Kartini,doni_kartini@hotmail.com,628777013290,24-08-19,active
310,Selvi Tarigan,selvi_tarigan@hotmail.com,+6285746519098,14/07/2022,active
311,Rina Panjaitan,rinapanjaitan721@gmail.com,+62811696566,2022-04-12,inactive
312,Tari Firmansyah,tari_firmansyah864@gmail.com,085722010276,11/07/2019,active
313,Nisa Soebagyo,nisa_soebagyo@yahoo.com,6287876532690,2024-06-25,Aktif
314,Nanda Ramadhan,nanda-ramadhan@yahoo.com,+62859971284,20-03-23,active
315,ChanDra PErangin,chandra-perangin@gmail.com,6285794079290,10-04-21,banned
316,Dewi Mulyadi,dewimulyadi872@gmail.com,08564019292,2023-01-04,inaactive
317,Joko Wahyudi,joko.wahyudi@gmail.com,082227663723,24-06-24,active
318,Hendra Setiadi,hendrasetiadi172@gmail.com,+628578366742,2023-12-13,active
319,Qori Soekarno,qorisoekarno100@yahoo.com,628564414967,17-09-20,banned
320,Linda Sudirman,linda.sudirman@hotmail.com,0813618175,17-06-20,active
321,oscar saputra,oscarsaputra@yahoo.com,6282111926921,2020-01-25,active
322,Ulfa Firmansyah,ulfa-firmansyah788@hotmail.com,628582140665,2018-09-04,active
323,joko batubara,joko.batubara625@gmail.com,62882286391,14-12-22,active
324,MaYa SUsanTo,mayasusanto528@yahoo.com,+6287718306719,2024-01-02,active
325,yogi tambunan,yogitambunan375@gmail.com,+6285732806346,14-03-19,banned
326,FanI NainGgolan,faninainggolan@gmail.com,628121387829,12/08/2020,active
327,Hadi Nainggolan,hadinainggolan@gmail.com,08121792911,2019-04-13,banned
328,opik gunawan,opik-gunawan831@gmail.com,088925309251,2019-05-10,active
329,Nisa Nugroho,nisa_nugroho@gmail.com,0877071002,01-01-19,banned
330,Linda Mulyadi,linda_mulyadi@gmail.com,085676329092,10-08-23,active
331,Yogi Lubis,yogi.lubis@yahoo.com,+6288737340312,2023-04-28,active
332,Irwan Firmansyah,indahperangin@yahoo.com,+628524597010,11/01/2024,active
333,Dewi Nainggolan,dewi.nainggolan739@yahoo.com,628583531531,29-08-20,inactive
334,Sari Sirait,sari_sirait56@gmail.com,0881652735,09/01/2021,active
335,Fajar Susanto,yunussaputra@yahoo.com,08816253492,09/11/2024,inactive
336,Gilang Budiman,gilang_budiman@yahoo.com,+628810633569,29-06-20,active
337,Jasmine Santoso,zahraharahap260@hotmail.com,62885686717,22/07/2023,active
