id,nama,email,no_hp,tanggal_daftar,status
57,Agus Angin,agus-angin665@gmail.com,0812471138,202010-07-19,inactive
58,Hana Firmansyah,hana_firmansyah@gmail.com,628219640537,202027-12-22,active
59,Doni Kurniawan,doni-kurniawan63@gmail.com,08211390053,2019-05-31,active
60,Agus Pramono,agus.pramono@gmail.com,08112284210,202024-06-19,active
61,Nanda Karo,nandakaro130@yahoo.com,08137589178,2020-06-26,active
62,Chandra Siregar,chandrasiregar491@gmail.com,628217115921,202001-06-19,banned
63,Kevin Ginting,kevin-ginting465@gmail.com,6282183673657,202022-06-22,Aktif
64,Doni Harahap,doni-harahap@hotmail.com,+62813116152,202028-03-24,banned
65,Hesti Ginting,hesti-ginting895@hotmail.com,085745198327,202007-07-20,active
66,HESti PanjaitAN,hesti-panjaitan@gmail.com,088961201836,202016-09-22,active
67,Irwan Panjaitan,irwanpanjaitan@gmail.com,081214767976,202023-01-21,ACTIVE
68,Bela Wibowo,bela_wibowo540@gmail.com,087700343244,202005-09-21,active
69,Zulfa Rizky,zulfa.rizky513@gmail.com,+628120715969,2022-07-15,banned
70,NIsa MulYaDi,nisa_mulyadi892@rocketmail.com,+628532181883,202002-12-21,Aktif
71,HADI HArtono,hadi-hartono885@gmail.com,+628137449058,202031-10-18,inactive
72,selvi susanto,selvisusanto@yahoo.com,628857980793,2021-08-09,inactive
73,Adit Hidayat,adit-hidayat@yahoo.com,62851377889,202013-10-19,active
74,Qori Sirait,qorisirait809@gmail.com,+6282164492519,202003-08-19,active
75,Karim Kusuma,karim-kusuma573@hotmail.com,+6282281685054,202009-01-20,active
76,Yunus Saputra,yunussaputra@yahoo.com,62885592962,202027-10-19,banned
77,Pipit Soekarno,pipitsoekarno421@hotmail.com,628539473834,202006-04-23,active
78,Jasmine Batubara,jasmine_batubara515@gmail.com,08220758181,202013-03-21,inaktif
79,Irwan Suryadi,irwan_suryadi@yahoo.com,+628110685361,202016-03-22,active
80,Arif Suharto,arif.suharto@gmail.com,+6282277901043,2019-09-05,Aktif
81,Nando Sinaga,nando.sinaga@gmail.com,087897117980,2023-10-12,active
82,Hadi Mulyadi,hadi.mulyadi585@gmail.com,6281351888880,202019-05-22,active
83,Jihan Panjaitan,erfan.sudirman272@gmail.com,+6285319520585,2019-12-19,inactive
84,Wulan Angin,wulan_angin38@gmail.com,0852548687,202003-11-20,ACTIVE
85,Kurnia Mulyadi,kurnia-mulyadi@gmail.com,+6287776527758,202028-12-20,Aktif
86,Oky Pratama,oky.pratama559@gmail.com,08134479627,202010-12-21,active
87,Fani Perangin,faniperangin77@gmail.com,62851297021,2020-08-24,active
88,Galih Sirait,budi-siregar477@yahoo.com,628815719285,202019-06-22,banned
89,Winda Hartono,jihan_sudirman@gmail.com,+628858144739,2021-03-15,inactive
90,SARI WIBOWO,sari.wibowo921@gmail.com,6285851884422,2022-01-20,active
91,Fitri Saputra,fitri_saputra27@yahoo.com,628598291146,2023-05-15,inactive
92,Murti Kartini,murti-kartini@yahoo.com,+628852892268,202015-08-18,inactive
93,Nurul Siregar,nurul.siregar355@gmail.com,+6285284249818,2019-11-22,inactive
94,Nurul Nugroho,nurul-nugroho@gmail.com,081294396907,202013-02-24,banned
95,Yogi Simbolon,yogi_simbolon305@gmail.com,62812767735,202020-10-24,active
96,Arif Fauzi,arif_fauzi134@yahoo.com,628213714732,202001-02-19,active
97,Jihan Soebagyo,jihan.soebagyo834@yahoo.com,62858278774,202031-07-23,active
98,Karim Purba,karim-purba@gmail.com,+628828016245,202010-07-22,active
99,Laila Rahayu,laila-rahayu76@yahoo.com,+628879912165,2021-10-20,active
100,Hadi Saputra,hadisaputra@gmail.com,628588729825,202016-11-24,active
101,Karim Perangin,karim-perangin520@hotmail.com,628570551694,2018-04-20,inactive
102,Vera Setiadi,vera.setiadi@yahoo.com,+6285196230913,202019-03-18,active
103,Nisa Hidayat,nisa_hidayat@hotmail.com,0885857865,202011-12-19,inactive
104,Dinda Tarigan,dinda-tarigan625@gmail.com,085643443757,2021-11-29,baned
105,WINDA MULYADI,winda_mulyadi918@gmail.com,0857415747,202026-05-20,inactive
106,Panji Ginting,panji.ginting@hotmail.com,6285330165712,2018-01-22,active
107,Murti Setiadi,murti_setiadi@outlook.com,+628580193802,202008-09-22,active
108,Karim Soeharto,karim-soeharto@gmail.com,+6288915478872,202028-08-23,active
109,KUrNIa SoeKarno,kurniasoekarno@yahoo.com,+62853463745,2021-05-21,INACTIVE
110,Jasmine Santoso,jasmine.santoso@yahoo.com,+628518414593,202016-06-20,inactive
111,Nurul Hasibuan,nurul_hasibuan719@outlook.com,62852918785,2018-11-16,active
112,Rina Pramono,rina.pramono169@yahoo.com,+6282139718707,2019-06-25,inactive
113,tono sembiring,tono-sembiring@gmail.com,+6281139106518,202004-09-18,inactive
114,Rudi Mulyadi,rudi_mulyadi384@yahoo.com,+62877825128,2022-05-29,active
115,maman pramono,murti.nasution338@hotmail.com,+628878633752,202003-02-21,INACTIVE
116,Eko Susanto,ekosusanto@gmail.com,08129030673,202020-01-24,ACTIVE
117,Rina Kusuma,rina-kusuma592@gmail.com,+6282283644089,2019-12-19,banned
118,Oky Ginting,oky_ginting805@hotmail.com,+62878462873,202012-07-20,aktive
119,Hadi Soekarno,doni-kurniawan63@gmail.com,+6288726343517,202028-02-22,inactive
120,Kurnia Rahayu,kurniarahayu@gmail.com,62887735403,2020-02-18,active
121,Wulan Hartono,wulan_hartono@yahoo.com,+628577854458,202030-07-23,active
122,Vino Permana,vino-permana321@gmail.com,6285320489964,202017-09-19,active
123,Putri Sirait,putri-sirait264@hotmail.com,628822522872,2024-01-30,active
124,Dian Susanto,diansusanto@gmail.com,0853203875,2018-09-05,banned
125,Opik Simbolon,karim-kusuma573@hotmail.com,62878084840,2023-08-20,banned
126,Prita Soekarno,pritasoekarno@gmail.com,08855461567,202003-05-24,banned
127,Maman Siregar,mamansiregar96@gmail.com,+628870021765,202006-05-24,inactive
128,Ani Gunawan,ani_gunawan@gmail.com,6285690250392,202020-06-22,active
129,Irwan Sembiring,irwan_sembiring694@gmail.com,6282218501631,2021-10-27,BANNED
130,Opik Brahmana,opikbrahmana650@yahoo.com,+628538662961,202008-12-24,activee
131,ROsi RamAdhaN,rosi_ramadhan460@gmail.com,08138199560,202010-04-21,active
132,Bambang Fauzi,bambang.fauzi@hotmail.com,+62851444721,202016-11-19,active
133,Nisa Siregar,nisa-siregar@hotmail.com,6288293712406,2021-09-22,active
134,Candra Batubara,candra.batubara308@yahoo.com,628525265479,202019-09-20,active
135,Winda Kartini,winda.kartini@hotmail.com,6281173741672,202025-05-21,active
136,Nurul Ramadhan,nurul_ramadhan613@yahoo.com,+6288768058911,2020-10-13,banned
137,Fani Nugroho,murti-kartini@yahoo.com,628776101438,2023-10-26,inactive
138,Jasmine Gunawan,jasmine.gunawan@yahoo.com,08571125457,2020-04-27,inactive
139,Edy SImBoLon,edy.simbolon@gmail.com,628783622660,202020-11-24,inactive
140,Linda Sitorus,linda.sitorus@yahoo.com,0887553714,2023-06-28,banned
141,Arif Brahmana,arifbrahmana357@yahoo.com,6285149912513,202004-06-21,active
142,HANA ISKANDAR,hana.iskandar589@gmail.com,088282827422,202012-07-21,banned
143,Hendra Soebagyo,mira_soeharto462@gmail.com,087787676772,2018-12-05,active
144,maman mulyadi,maman-mulyadi173@yahoo.com,6288281914858,2018-06-20,inactive
145,Fira Handoko,fira.handoko@yahoo.com,+62859713395,2024-11-04,inactive
146,WATI PERANGIN,wati.perangin@yahoo.com,+628879825449,2020-12-31,banned
147,Doni Kusuma,donikusuma@hotmail.com,0853536729,2021-01-05,inactive
148,Imam Batubara,imam_batubara651@gmail.com,62877637454,2021-10-15,inactive
149,Fajar Sembiring,fajarsembiring@hotmail.com,+62811277063,2019-06-25,active
150,Irwan Soebagyo,irwan-soebagyo@gmail.com,62851643611,202005-01-18,inactive
151,Yuni Kusuma,yuni_kusuma@hotmail.com,+628212713611,202027-02-19,active
152,Yogi Kusuma,yogi.kusuma@gmail.com,62889927532,2022-08-14,banned
153,Rahmad Soebagyo,rahmad.soebagyo@yahoo.com,628776523413,2024-03-16,banned
154,Nando Mulyadi,nando-mulyadi@rocketmail.com,+6285703761379,2018-10-18,active
155,GALIH HARAHAP,galih_harahap@ymail.com,+62813910430,202005-09-18,inactive
156,Qori Angin,qori_angin719@gmail.com,6288792414183,2019-09-29,active
157,Karim Karo,karimkaro318@hotmail.com,0812161799,202014-08-18,banned
158,joko wibowo,jokowibowo168@gmail.com,6288542524105,202025-10-22,inactive
159,Agus Wahyudi,aguswahyudi509@yahoo.com,+628129252419,202018-04-19,actve
160,bela santoso,bela.santoso48@gmail.com,+62822086353,2022-09-01,active
161,PanjI KarTiNi,panji_kartini9@gmail.com,+628899375973,202017-02-24,active
162,budi manurung,budimanurung974@gmail.com,6287741383670,2019-08-07,active
163,Sri Susanto,sri_susanto718@yahoo.com,6281318261990,2022-11-17,active
164,Nanda Mulyadi,nanda_mulyadi718@gmail.com,+62856132912,202009-03-19,inactive
165,Ulfa Harahap,ulfa.harahap463@yahoo.com,+62821249035,202031-08-19,Active
166,Rosi Lubis,wulan_angin38@gmail.com,+62851678831,202008-03-23,activee
167,lestari wibowo,lestari.wibowo@gmail.com,+6281394101372,202012-01-19,active
168,ani hasibuan,ani_hasibuan842@yahoo.com,087762532447,202001-09-19,banned
169,Pipit Perangin,pipit_perangin904@gmail.com,08562638380,2022-04-16,active
170,Wulan Tarigan,wulan-tarigan398@gmail.com,085830407859,202011-08-20,active
171,Rosi Firmansyah,rosifirmansyah@yahoo.com,+62859239559,2018-04-26,banned
172,Fani Sembiring,fani.sembiring857@yahoo.com,+628510103930,202027-11-23,active
173,Candra Perangin,candra.perangin941@gmail.com,082221851569,202018-02-19,active
174,Bella Kusuma,bella_kusuma811@hotmail.com,+6285189539264,202021-04-21,active
175,Budi Iskandar,budiiskandar187@yahoo.com,0889725135,202001-08-21,banned
176,Sri Kartini,sri-kartini@gmail.com,085315410067,202015-09-22,inactive
177,Zulfa Sirait,zulfa_sirait@gmail.com,+62813405411,202001-11-21,active
178,Irwan Fauzi,irwanfauzi104@gmail.com,087888444310,2022-05-29,inactive
179,yunus hidayat,qorihartono@gmail.com,+62882103241,202024-04-23,active
180,Karim Simbolon,karimsimbolon658@gmail.com,+628772704774,202015-07-20,inactive
181,Rina Hidayat,rinahidayat685@yahoo.com,+62889806868,2023-04-29,active
182,Vino SireGaR,vino.siregar@gmail.com,0878632945,202002-10-18,active
183,Hesti Tambunan,hesti_tambunan@hotmail.com,6288961622999,202015-02-19,inactive
184,Doni Soeharto,doni-soeharto899@gmail.com,+6288297024629,2024-10-29,banned
185,Laila Susanto,laila.susanto51@gmail.com,+628114447132,2021-05-15,inactive
186,Bella Suryadi,bellasuryadi193@gmail.com,+6288250821486,2019-07-10,inactive
187,Dewi Purnomo,dewipurnomo@yahoo.com,085934578610,202017-09-20,inactive
188,Mira Batubara,mira-batubara@gmail.com,628130602933,2020-07-11,active
189,Panji Setiadi,donilubis748@yahoo.com,+6282229034944,202002-10-22,active
190,Tono Wahyudi,tono_wahyudi@gmail.com,6285999441715,2021-02-06,active
191,Winda Wahyudi,winda-wahyudi@yahoo.com,081265207446,202016-07-22,actve
192,Rudi Karo,rudi.karo@hotmail.com,6288258428241,202013-04-23,actve
193,Vera Fauzi,vera.fauzi970@hotmail.com,08533465549,202019-04-21,active
194,Vino Rahayu,vinorahayu@yahoo.com,087746022356,202021-05-24,active
195,Arif Soebagyo,arif_soebagyo@gmail.com,62812743292,202029-06-23,active
196,Opik Sitorus,opik_sitorus@gmail.com,6285250583003,2020-07-15,active
197,ZahRA Kusuma,zahra_kusuma@gmail.com,+62811323098,202024-11-19,active
198,Rudi Sirait,rudisirait@hotmail.com,0811167618,202001-11-20,banned
199,Nurul Handoko,nurul-handoko@hotmail.com,6285692618914,202012-04-19,inactive
200,Sari Brahmana,sari.brahmana367@gmail.com,081273753001,2019-03-29,banned
201,Zulfa Hidayat,zulfahidayat@gmail.com,628534470120,202005-04-21,activee
202,Arif Sitorus,arifsitorus@hotmail.com,628515794155,202020-01-20,inactive
203,Laila Hasibuan,laila_hasibuan820@hotmail.com,0821021697,2024-05-19,inactive
204,Indah Perangin,indahperangin@yahoo.com,+628217014508,2024-06-19,inactive
205,Maman Firmansyah,mamanfirmansyah@yahoo.com,+62877890028,202007-04-23,active
206,Yuni Permana,yuni-permana@yahoo.com,628773177971,202004-08-23,active
207,Fitri Nainggolan,tono-sembiring@gmail.com,+6281280199488,2020-04-27,banned
208,Tono Nasution,doni-harahap@hotmail.com,+6285899757113,202009-01-18,active
209,Xena Ginting,xenaginting@yahoo.com,0878493316,202002-06-20,acitve
210,Kurnia Ramadhan,kurniaramadhan@icloud.com,+6288198270808,2022-11-08,inactive
211,Bela Sudirman,bela.sudirman@gmail.com,+6285866934654,202029-01-23,active
212,Murti Brahmana,murti-brahmana864@hotmail.com,6288733394522,2023-08-26,banned
213,Bella RamAdhaN,bellaramadhan205@outlook.com,085742043805,202028-01-23,banned
214,Hesti Soebagyo,hesti_soebagyo244@hotmail.com,628126658004,2020-04-11,Inactive
215,Rahmad Pramono,rahmad-pramono@live.com,628527212281,202026-03-22,inactive
216,Winda Ginting,winda-ginting6@yahoo.com,62822259094,2023-07-03,inactive
217,Fani Setiawan,fani.setiawan@yahoo.com,0885688615,202025-06-20,banned
218,Candra Nasution,candra_nasution@gmail.com,628593993056,202010-04-19,active
219,Fira Fauzi,fira-fauzi527@yahoo.com,085735811288,2018-01-31,active
220,Lukman Firmansyah,lukman_firmansyah@gmail.com,6287812075011,202011-08-18,baned
221,Oscar GinTInG,oscarginting@gmail.com,628214914766,202007-05-18,active
222,ERFAN GUNAWAN,erfan-gunawan@gmail.com,62859882100,2024-06-03,inactive
223,Erfan Ginting,erfan-ginting217@hotmail.com,62822239431,2020-01-13,activee
224,ilham budiman,ilham_budiman@gmail.com,628131397552,202018-08-20,active
225,Pipit Setiawan,pipit_setiawan337@hotmail.com,6282295562053,2020-06-26,actve
226,Prita Suryadi,prita-suryadi899@yahoo.com,+628597812914,2019-07-28,active
227,Vera Fauzi,verafauzi@yahoo.com,6281196930848,202020-01-24,banned
228,Nurul Panjaitan,nurul-panjaitan138@yahoo.com,628135803928,202029-07-19,active
229,Joko Sembiring,joko.sembiring754@gmail.com,08533145303,202023-10-23,active
230,Vino Hasibuan,hesti_tambunan@hotmail.com,+6282184498926,202031-03-22,banned
231,Yuni Sinaga,yuni.sinaga529@gmail.com,+628829082723,2018-11-12,banned
232,Winda Handoko,windahandoko@gmail.com,+628217739260,202025-09-20,active
233,Jasmine Karo,jasminekaro@gmail.com,0856869904,202018-12-18,inactive
234,Nando Simbolon,nando_simbolon@yahoo.com,08852579913,202030-03-22,active
235,Maya Wijaya,maya_wijaya@yahoo.com,08519908811,2023-05-30,active
236,Nando Tarigan,nando_tarigan535@gmail.com,08853765991,202009-10-22,active
237,Wulan Sudirman,wulan-sudirman613@gmail.com,081109818063,202017-07-21,active
238,Maya Hidayat,maya-hidayat876@yahoo.com,+6285663688725,2024-04-09,inactive
239,Oscar Siregar,oscar_siregar@hotmail.com,08532138658,2024-11-20,banned
240,Hendra Nugroho,hendranugroho@yahoo.com,62878143519,2018-06-04,active
241,Laila Perangin,lailaperangin@hotmail.com,+62881384309,2023-09-23,banned
242,Putri Perangin,bela_wibowo540@gmail.com,62811146566,202028-07-24,inactive
243,Siti Rizky,siti-rizky744@gmail.com,+6285337690426,202005-09-23,inactive
244,Yuni Purba,yuni-purba898@hotmail.com,+6287773577907,202022-04-19,active
245,Imam Angin,imam.angin820@gmail.com,+6288504341651,202021-03-24,inactive
246,Arif Lubis,arif.lubis@yahoo.com,62852343333,202008-12-24,active
247,Maya Wibowo,maya_wibowo@ymail.com,628125957947,2020-01-20,active
248,Karim Gunawan,karim_gunawan@yahoo.com,+6287727187500,202013-05-20,inactive
249,Doni Harahap,doni.harahap562@gmail.com,+6288255276365,202004-02-22,active
250,Selvi Purnomo,selvi.purnomo@hotmail.com,+6285366322702,202023-09-22,active
251,Chandra Tarigan,chandra-tarigan@gmail.com,0851347175,202030-11-20,active
252,Hesti Ginting,hestiginting@gmail.com,6285298245587,202005-01-23,active
253,Opik Mulyadi,opik.mulyadi656@gmail.com,628891125355,2021-04-08,active
254,Nando Setiadi,nando-setiadi766@gmail.com,0851234132,202015-06-22,active
255,Agus Simbolon,nurul_hasibuan719@outlook.com,62813492164,202028-07-20,actve
256,Qori Batubara,qori.batubara@hotmail.com,+628587848728,2019-12-27,banned
257,Tono Angin,tono_angin537@gmail.com,+62887174564,202030-09-19,active
258,Budi Sinaga,budi-sinaga294@yahoo.com,08824064930,202024-02-24,active
259,Murti Ginting,murti_ginting849@gmail.com,+628133894484,202019-08-22,active
260,Indah Kusuma,indah_kusuma279@gmail.com,+62811080214,202007-01-21,Active
261,rahmad fauzi,rahmadfauzi@gmail.com,+628575705120,202027-12-20,active
262,Fira Simbolon,fira-simbolon837@gmail.com,08537303718,202003-05-20,active
263,Zahra Harahap,zahraharahap260@hotmail.com,+628520313650,202017-11-19,inactive
264,Fitri Tambunan,jasmine_simbolon@gmail.com,6288292513271,202008-12-24,inaktif
265,Rina Rahayu,rinarahayu129@gmail.com,+6288757306524,202011-06-18,aktive
266,Rahmad Ginting,rahmad.ginting@yahoo.com,+6285874982182,202015-01-23,active
267,Fira Panjaitan,fira_panjaitan@gmail.com,6285935186387,202008-03-24,banned
268,Qori Harahap,qoriharahap@gmail.com,0851317310,2024-05-27,active
269,Yunus Sinaga,yunussinaga@yahoo.com,62813371705,2024-04-04,inactive
270,Hana Soeharto,hana-soeharto@hotmail.com,0857381138,202028-04-22,active
271,Dian Firmansyah,dian.firmansyah572@rocketmail.com,08897612286,202030-08-23,banned
272,Irwan Tarigan,irwan-tarigan925@yahoo.com,+628596593983,2022-03-17,Banned
273,Oscar Panjaitan,oscar_panjaitan@gmail.com,6281124043350,2021-02-04,inactive
274,Hesti Sembiring,hestisembiring472@gmail.com,08569334419,2022-06-26,active
275,Yuni Fauzi,yuni_fauzi@yahoo.com,62857961055,202014-11-22,active
276,Putri Rizky,putririzky650@gmail.com,+62885589258,202023-06-20,active
277,Karim Batubara,karimbatubara228@gmail.com,+62822517908,202024-06-22,active
278,Laila Purba,laila.purba@yahoo.com,+62889898331,202026-12-20,active
279,JasMine Pratama,jasmine-pratama@gmail.com,62812924051,202003-06-21,inactive
280,Andi Nasution,andi.nasution560@yahoo.com,+6282206980420,202009-03-21,baned
281,pipit suryadi,pipitsuryadi69@hotmail.com,+62859046368,202012-02-19,inactive
282,MIra TArigaN,mira-tarigan641@gmail.com,62856460843,202014-09-19,inactive
283,Lestari Pratama,lestari.pratama@yahoo.com,08789578232,2024-07-07,banned
284,SARI SOEBAGYO,sari.soebagyo@hotmail.com,628511881252,202001-05-18,inactive
285,Murti Siregar,murti-siregar@gmail.com,0851994999,2020-08-03,active
286,putri kurniawan,putri_kurniawan138@hotmail.com,62859677223,202015-07-20,inactive
287,Siti Suryadi,siti.suryadi@gmail.com,088175736609,2022-04-08,active
288,Karim Perangin,karimperangin@yahoo.com,+62812886086,2023-10-16,active
289,Kurnia Mulyadi,kurnia-mulyadi@gmail.com,+6281282771812,2024-07-25,inactive
290,Lestari Tambunan,lestari.tambunan@yahoo.com,08562111751,2023-11-16,active
291,Bela Perangin,bela_perangin@gmail.com,62822220644,202002-01-23,banned
292,Indah Wibowo,indahwibowo638@gmail.com,+628828097339,202003-05-23,inactive
293,Rahmad Pratama,karimkaro318@hotmail.com,62887022050,202019-08-19,banned
294,Jasmine Pramono,jasminepramono@gmail.com,085149998279,202015-01-22,active
295,Yogi Harahap,yogiharahap777@yahoo.com,08572145868,2020-05-09,active
296,Opik RahaYu,opik-rahayu@yahoo.com,6288277293430,202030-04-19,inactive
297,Fitri Rizky,fitri_rizky@gmail.com,+6288730344144,2023-09-07,active
298,Budi Wibowo,budiwibowo@gmail.com,+6285877027278,202004-10-21,acitve
299,murti rizky,murti-rizky@gmail.com,628581240568,2019-11-11,banned
300,Jihan Purnomo,jihan-purnomo723@hotmail.com,08561735743,202021-11-23,active
301,Eko Panjaitan,ekopanjaitan@yahoo.com,62822578452,2019-02-07,banned
302,Fajar Handoko,fajarhandoko5@gmail.com,628137018409,2021-07-02,active
303,Bella Saputra,bella-saputra792@hotmail.com,0856241098,202007-10-23,active
304,Fira Lubis,fira-lubis@gmail.com,085758702070,202010-03-19,active
305,Sri Sitorus,sri_sitorus632@gmail.com,+6285281792171,202010-02-23,banned
306,Ulfa Simbolon,ulfa-simbolon935@gmail.com,08587701715,202015-05-23,active
307,Qori Sudirman,qorisudirman@gmail.com,628138769639,2020-09-25,active
308,wulan sirait,wulan_sirait804@yahoo.com,+6288732197199,202012-03-23,inactive
309,Doni Kartini,doni_kartini@hotmail.com,628777013290,2019-08-24,active
310,Selvi Tarigan,selvi_tarigan@hotmail.com,+6285746519098,202014-07-22,active
311,Rina Panjaitan,rinapanjaitan721@gmail.com,+62811696566,202012-04-22,inactive
312,Tari Firmansyah,tari_firmansyah864@gmail.com,085722010276,202011-07-19,active
313,Nisa Soebagyo,nisa_soebagyo@yahoo.com,6287876532690,202025-06-24,Aktif
314,Nanda Ramadhan,nanda-ramadhan@yahoo.com,+62859971284,2023-03-20,active
315,ChanDra PErangin,chandra-perangin@gmail.com,6285794079290,2021-04-10,banned
316,Dewi Mulyadi,dewimulyadi872@gmail.com,08564019292,202004-01-23,inaactive
317,Joko Wahyudi,joko.wahyudi@gmail.com,082227663723,2024-06-24,active
318,Hendra Setiadi,hendrasetiadi172@gmail.com,+628578366742,202013-12-23,active
319,Qori Soekarno,qorisoekarno100@yahoo.com,628564414967,2020-09-17,banned
320,Linda Sudirman,linda.sudirman@hotmail.com,0813618175,2020-06-17,active
321,oscar saputra,oscarsaputra@yahoo.com,6282111926921,202025-01-20,active
322,Ulfa Firmansyah,ulfa-firmansyah788@hotmail.com,628582140665,202004-09-18,active
323,joko batubara,joko.batubara625@gmail.com,62882286391,2022-12-14,active
324,MaYa SUsanTo,mayasusanto528@yahoo.com,+6287718306719,202002-01-24,active
325,yogi tambunan,yogitambunan375@gmail.com,+6285732806346,2019-03-14,banned
326,FanI NainGgolan,faninainggolan@gmail.com,628121387829,202012-08-20,active
327,Hadi Nainggolan,hadinainggolan@gmail.com,08121792911,202013-04-19,banned
328,opik gunawan,opik-gunawan831@gmail.com,088925309251,202010-05-19,active
329,Nisa Nugroho,nisa_nugroho@gmail.com,0877071002,2019-01-01,banned
330,Linda Mulyadi,linda_mulyadi@gmail.com,085676329092,2023-08-10,active
331,Yogi Lubis,yogi.lubis@yahoo.com,+6288737340312,202028-04-23,active
332,Irwan Firmansyah,indahperangin@yahoo.com,+628524597010,202011-01-24,active
333,Dewi Nainggolan,dewi.nainggolan739@yahoo.com,628583531531,2020-08-29,inactive
334,Sari Sirait,sari_sirait56@gmail.com,0881652735,202009-01-21,active
